Metric,Sample Size,Mean Value,Sample CI Low,Sample CI High,Sample CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Average Affinity,50,0.6518767269193392,0.5682346938775511,0.7339125364431486,0.25415517339998217,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Affinity,100,0.655806304954305,0.5920745550745552,0.7173241702741703,0.19098568320160045,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Affinity,150,0.6537167793757324,0.6065260466602749,0.7109895493767977,0.1597993290248422,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Affinity,200,0.6536103374012923,0.6170398899258196,0.6981218353673128,0.12405242206521573,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Affinity,250,0.6547223380378657,0.6134011589213999,0.691654859437751,0.11952196522096557,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Affinity,300,0.6551731173753783,0.6169485427615863,0.6904615384615383,0.11220392557381616,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Affinity,350,0.6533641514921156,0.6193866752431632,0.6842103327290802,0.09921520386124102,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Affinity,400,0.6530890361618332,0.6214297574292875,0.6803102652464494,0.09015693811551222,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Affinity,450,0.6538247080755589,0.6201651158954055,0.6810510163679427,0.0931226668562991,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Affinity,500,0.6537174019658364,0.6220469472277889,0.6802033314247543,0.08896257621730672,-0.0005295308477517749,0.9701388631130965,0.009500743474026617,0.5018057748481433,50.0,True
Average Distinct Activities per Trace,50,7.405399999999999,6.76,7.92,0.1566424501039782,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Distinct Activities per Trace,100,7.42772,6.96,7.82525,0.11648931300587524,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Distinct Activities per Trace,150,7.4166533333333335,7.049833333333334,7.78,0.0984496151903194,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Distinct Activities per Trace,200,7.41719,7.1495,7.707625,0.07524749938993075,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Distinct Activities per Trace,250,7.42392,7.116,7.6661,0.07409832002500033,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Distinct Activities per Trace,300,7.42728,7.156333333333333,7.65,0.0664666831823584,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Distinct Activities per Trace,350,7.4154228571428575,7.169928571428572,7.617285714285714,0.0603279342898468,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Distinct Activities per Trace,400,7.41303,7.179875,7.592625,0.0556789868650201,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Distinct Activities per Trace,450,7.4181333333333335,7.169722222222222,7.601166666666667,0.058160783185946786,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Distinct Activities per Trace,500,7.417684,7.1869499999999995,7.59305,0.05474754653878493,0.0024301953933587436,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Average Edit Distance,50,4.983585306122449,3.9377551020408164,5.965367346938775,0.4068581393413675,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Average Edit Distance,100,4.939156363636363,4.139141414141415,5.735267676767677,0.323157670078528,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Average Edit Distance,150,4.966465682326622,4.232053691275167,5.514183445190157,0.2581573770815536,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Average Edit Distance,200,4.966877989949748,4.383894472361809,5.402841708542714,0.2051484329276254,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Average Edit Distance,250,4.951651598393574,4.5046835341365465,5.415457028112449,0.1839332747625818,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Average Edit Distance,300,4.950172842809365,4.489205128205128,5.433574136008917,0.19077495630795638,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Average Edit Distance,350,4.972984625460499,4.571115841178878,5.426484650020466,0.1720031074422195,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Average Edit Distance,400,4.973999022556391,4.623619360902255,5.396234962406014,0.15533087119640657,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Average Edit Distance,450,4.968373194753774,4.6394041078940855,5.3941306607275425,0.15190617194988315,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Average Edit Distance,500,4.967875991983967,4.644432264529058,5.393851102204408,0.15085296792524455,0.006820900617754644,0.6296670553380287,-0.00682896688567892,0.6292620552709606,50.0,True
Avg. Trace Length,50,12.810799999999999,11.52,13.84,0.18109719923814285,0.0024301953933587583,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Avg. Trace Length,100,12.85544,11.92,13.6505,0.1346122730921695,0.0024301953933587583,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Avg. Trace Length,150,12.833306666666667,12.099666666666668,13.56,0.11379244424403995,0.0024301953933587583,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Avg. Trace Length,200,12.83438,12.299,13.41525,0.08697342606343282,0.0024301953933587583,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Avg. Trace Length,250,12.84784,12.232,13.3322,0.0856330713956588,0.0024301953933587583,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Avg. Trace Length,300,12.85456,12.312666666666667,13.3,0.07680802247088457,0.0024301953933587583,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Avg. Trace Length,350,12.830845714285715,12.339857142857143,13.234571428571428,0.0697315130769689,0.0024301953933587583,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
Avg. Trace Length,400,12.82606,12.35975,13.18525,0.06436115221665889,0.0024301953933587583,0.8635962964445295,-0.013861633372496946,0.3271021598494529,50.0,True
